,bill_id,alternate_bill_id,bill_name,bill_text_url,bill_summary,bill_sponsors,action_on_branch,action_date,action_text,Category
1309,S359,H602,Born-Alive Abortion Survivors Protection Act.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S359v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/359/2019-2020%20Session/S359,"Joyce Krawiec; Ralph Hise; Kathy Harrington; W. Ted Alexander; Deanna Ballard; Dan Bishop; Danny Earl Britt, Jr.; Jim Burgin; Warren Daniel; Chuck Edwards; Carl Ford; Eddie Gallimore; Todd Johnson; Tom McInnis; Paul Newton; Jim Perry; Norman W. Sanderson; Vickie Sawyer; Bob Steinburg",HF,6/5/2019,Failed To Override Veto,General Government
1306,S356,,Surp. Proceeds; Cert. Seized Veh. Sales.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S356v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/356/2019-2020%20Session/S356,Andy Wells; Harry Brown; Deanna Ballard; Chuck Edwards; Bob Steinburg,H,8/7/2019,Conf Com Appointed,General Government
1677,S690,,Modifications to 2019 Appointments Bill.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S690v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/690/2019-2020%20Session/S690,Bill Rabon,H,10/1/2019,Placed On Cal For 10/02/2019,General Government
1305,S355,H722,Land-Use Regulatory Changes.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S355v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/355/2019-2020%20Session/S355,"Dan Bishop; Paul Newton; Sam Searcy; Danny Earl Britt, Jr.; Ben Clark; Warren Daniel; Don Davis; Chuck Edwards; Rick Gunn; Brent Jackson; Joyce Krawiec; Tom McInnis; Norman W. Sanderson; Jerry W. Tillman",R,7/11/2019,Ch. SL 2019-111,General Government
1303,S353,,Amend Cartway Path/Septic Tank Laws.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S353v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/353/2019-2020%20Session/S353,Tom McInnis; Rick Gunn; Andy Wells,R,9/4/2019,Ch. SL 2019-215,General Government
1680,S7,,Bipartisan Ethics Appointments.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S7v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/7/2019-2020%20Session/S7,"Bill Rabon; Ben Clark; Paul A. Lowe, Jr.",R,2/7/2019,Ch. SL 2019-1,General Government
22,H1018,,Observe the 75th Anniversary of D-Day.,https://www.ncleg.gov/sessions/2019/bills/house/html/H1018v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/1018/2019-2020%20Session/H1018,"Rules, Calendar, and Operations of the House; Pricey Harrison",H,6/6/2019,Adopted,General Government
21,H1017,,Special Master Wake House Plan.,https://www.ncleg.gov/sessions/2019/bills/house/html/H1017v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/1017/2019-2020%20Session/H1017,"David R. Lewis; John R. Bell, IV; Darren G. Jackson; Robert T. Reives, II; Pricey Harrison",R,6/25/2019,Ch. SL 2019-46,General Government
272,H324,,Local Hunting Omnibus.,https://www.ncleg.gov/sessions/2019/bills/house/html/H324v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/324/2019-2020%20Session/H324,Kelly E. Hastings,R,7/11/2019,Ch. SL 2019-107,General Government
194,H254,,Confirm Ken Goodman/Industrial Commission.,https://www.ncleg.gov/sessions/2019/bills/house/html/H254v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/254/2019-2020%20Session/H254,"David R. Lewis; Gale Adcock; John Ager; John Autry; Mary Belk; John R. Bell, IV; William D. Brisson; Cecil Brockman; Deb Butler; Becky Carney; Jean Farmer-Butterfield; Susan C. Fisher; James D. Gailliard; Rosa U. Gill; Pricey Harrison; Yvonne Lewis Holley; Howard J. Hunter, III; Verla Insko; Darren G. Jackson; Joe John; Marvin W. Lucas; Nasif Majeed; Allen McNeill; Graig R. Meyer; Amos L. Quick, III; William O. Richardson; Dennis Riddell; John Szoka; Brian Turner; Shelly Willingham; Michael H. Wray",R,4/22/2019,Ch. Res 2019-8,General Government
75,H147,,Confirm Raymond Grace/Banking Commissioner.,https://www.ncleg.gov/sessions/2019/bills/house/html/H147v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/147/2019-2020%20Session/H147,Stephen M. Ross; Julia C. Howard; Susan C. Fisher; Debra Conrad; John Autry; Deb Butler; John Faircloth; Pricey Harrison; Donny Lambeth,R,4/4/2019,Ch. Res 2019-6,General Government
1304,S354,,Sam's Law.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S354v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/354/2019-2020%20Session/S354,Deanna Ballard; Chuck Edwards; Kathy Harrington; Joyce Krawiec,S,7/15/2019,Failed Concur In H Com Sub,General Government
1317,S366,,9th/10th Grade/College Transfer Pathways.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S366v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/366/2019-2020%20Session/S366,Tom McInnis; Brent Jackson; Chuck Edwards; Norman W. Sanderson; Bob Steinburg,R,8/1/2019,Ch. SL 2019-185,General Government
25,H1020,,2019 House Remedial Map.,https://www.ncleg.gov/sessions/2019/bills/house/html/H1020v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/1020/2019-2020%20Session/H1020,Destin Hall; David R. Lewis,R,9/17/2019,Ch. SL 2019-220,General Government
1318,S367,,Clarify Property Owners' Rights.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S367v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/367/2019-2020%20Session/S367,Tom McInnis; Joyce Krawiec; Brent Jackson; Norman W. Sanderson,S,4/9/2019,Re-ref Com On Judiciary,General Government
165,H228,S178,Modernize Laws Pertaining to NC Medical Board.-AB,https://www.ncleg.gov/sessions/2019/bills/house/html/H228v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/228/2019-2020%20Session/H228,"Gregory F. Murphy, MD; William D. Brisson; Pricey Harrison; Howard J. Hunter, III; Marvin W. Lucas; David Rogers; Michael H. Wray",R,8/1/2019,Ch. SL 2019-191,General Government
69,H141,S439,PED Study - DPS/Health Services/Funds for FTE.,https://www.ncleg.gov/sessions/2019/bills/house/html/H141v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/141/2019-2020%20Session/H141,"D. Craig Horn; Jean Farmer-Butterfield; Marvin W. Lucas; Rena W. Turner; John Ager; John Autry; MaryAnn Black; Deb Butler; Carla D. Cunningham; Charles Graham; Verla Insko; Larry G. Pittman; Robert T. Reives, II; Evelyn Terry",H,3/6/2019,"Re-ref Com On Appropriations, Justice and Public Safety",General Government
11,H1008,,Real Property Donation Tax Credit.,https://www.ncleg.gov/sessions/2019/bills/house/html/H1008v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/1008/2019-2020%20Session/H1008,"Mitchell S. Setzer; John Szoka; Stephen M. Ross; Becky Carney; John Ager; John Autry; Elmer Floyd; Terry E. Garrison; Pricey Harrison; Cody Henson; Howard J. Hunter, III; Carolyn G. Logan; Marvin W. Lucas; Chuck McGrady; Derwin L. Montgomery; Garland E. Pierce; William O. Richardson; Evelyn Terry; Michael H. Wray; Larry Yarborough",H,10/1/2019,Placed On Cal For 10/02/2019,General Government
1698,S86,,Small Business Health Care Act.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S86v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/86/2019-2020%20Session/S86,Dan Bishop; Joyce Krawiec; Chuck Edwards; Deanna Ballard; Harry Brown; Jim Burgin; Warren Daniel; Jim Davis; Carl Ford; Ralph Hise; Todd Johnson; Tom McInnis; Paul Newton; Jim Perry; Bob Steinburg,R,8/26/2019,Ch. SL 2019-202,General Government
1700,S88,H165,Electrician Requirements for Certain Orgs.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S88v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/88/2019-2020%20Session/S88,Vickie Sawyer; W. Ted Alexander; Jim Perry,R,7/4/2019,Ch. SL 2019-78,General Government
1702,S9,,Female Genital Mutilation/Clarify Prohibition.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S9v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/9/2019-2020%20Session/S9,Joyce Krawiec; Vickie Sawyer; Deanna Ballard; W. Ted Alexander; Dan Bishop; Jim Burgin; Warren Daniel; Jim Davis; Chuck Edwards; Carl Ford; Ralph Hise; Brent Jackson; Todd Johnson; Tom McInnis; Paul Newton; Jim Perry; Norman W. Sanderson; Sam Searcy,R,8/1/2019,Ch. SL 2019-183,General Government
1707,S94,,Honor NC A&T Football Team.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S94v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/94/2019-2020%20Session/S94,"Gladys A. Robinson; Ben Clark; Erica D. Smith; Warren Daniel; Kirk deViere; Michael Garrett; Paul A. Lowe, Jr.; Wiley Nickel; Bob Steinburg; Joyce Waddell; Mike Woodard",S,2/20/2019,Adopted,General Government
1708,S95,,Veterans Memorial Funds/Do Not Revert.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S95v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/95/2019-2020%20Session/S95,Jim Burgin; Warren Daniel; Ralph Hise; Erica D. Smith; Bob Steinburg,R,7/1/2019,Ch. SL 2019-75,General Government
1268,S321,H257,Federal Motor Carrier Safety/PRISM.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S321v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/321/2019-2020%20Session/S321,W. Ted Alexander; Natasha R. Marcus,R,8/14/2019,Ch. SL 2019-196,General Government
4,H1001,S407,Raise the Age Funding.,https://www.ncleg.gov/sessions/2019/bills/house/html/H1001v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/1001/2019-2020%20Session/H1001,"James L. Boles, Jr.; Gregory F. Murphy, MD; Carson Smith; MaryAnn Black; William D. Brisson; Cecil Brockman; Jean Farmer-Butterfield; Elmer Floyd; Rosa U. Gill; Pricey Harrison; Yvonne Lewis Holley; Chris Humphrey; Howard J. Hunter, III; Carolyn G. Logan; Marvin W. Lucas; Nasif Majeed; Derwin L. Montgomery; Marcia Morey; Garland E. Pierce; C. Ray Russell; Wayne Sasser; Evelyn Terry; Michael H. Wray",H,10/1/2019,Placed On Cal For 10/02/2019,General Government
